Start Time: 6/2/2024 3:23:10 PM
RDT Sample Rate: 500
Force Units: 1
Counts per Unit Force: 1000000
Torque Units: 2
Counts per Unit Torque: 1000000
Status (hex), RDTSequence, F/T Sequence, Fx , Fy , Fz , Tx , Ty , Tz , Time 
0x0, 1682, 55321, 0.01298201, 0.02007501, -0.006919861, -0.001639001, -0.001874998, 4.99934E-06, 15:23:10.638
0x0, 1683, 55322, -0.00305599, 0.01833801, 0.02884865, -0.002183005, -0.0005979985, 0.0004890002, 15:23:10.638
0x0, 1684, 55323, 0.011905, -0.01002799, 0.02078152, -0.0006590039, 6.400049E-05, 0.0005589984, 15:23:10.638
0x0, 1685, 55324, 0.009919003, -0.03938399, 0.03560162, 0.0006790012, 0.0005410016, 0.001279, 15:23:10.638
0x0, 1686, 55325, -0.0009159893, -0.02938199, 0.04042053, 0.002121001, 0.0004250035, 0.0005120002, 15:23:10.638
0x0, 1687, 55326, 0.005605012, -0.01197399, 0.04693985, 0.002632998, -3.3997E-05, 0.0007589981, 15:23:10.638
0x0, 1688, 55327, -0.007881001, -0.03347799, 0.03952885, 0.0008289963, -0.0001609996, 0.001176, 15:23:10.638
0x0, 1689, 55328, -0.01707199, -0.006962001, 0.01326847, 0.0002380013, -0.001570001, 0.0008060001, 15:23:10.638
0x0, 1690, 55329, -0.006635994, 0.003764004, -0.002346992, -0.0009800047, -0.002683997, 7.699803E-05, 15:23:10.638
0x0, 1691, 55330, 0.005434006, 0.009540007, 0.03979397, -0.0009820014, -0.002688996, 0.0004209988, 15:23:10.638
0x0, 1692, 55331, 0.002021, 0.010115, 0.02915955, -0.0007700026, -0.001575999, 0.0006459989, 15:23:10.638
0x0, 1693, 55332, 0.004675999, -0.011481, 0.03197384, 9.699911E-05, -0.0001010001, 0.0006659999, 15:23:11.050
0x0, 1694, 55333, 0.005842, -0.015964, 0.04933739, 0.0003580004, 0.0007060021, 0.0008259974, 15:23:11.050
0x0, 1695, 55334, 0.01745701, -0.052279, 0.03657246, 0.001057997, 0.001348004, 0.001289997, 15:23:11.050
0x0, 1696, 55335, 0.01451801, -0.035338, 0.04913044, 0.001006998, 0.0006550029, 0.001915, 15:23:11.050
0x0, 1697, 55336, 0.010966, -0.03815, 0.04056549, 0.0009859949, -6.400049E-05, 0.0006949976, 15:23:11.050
0x0, 1698, 55337, 0.011317, 0.01309301, 0.03052235, 0.0006629974, -0.001086995, 0.0007349998, 15:23:11.050
0x0, 1699, 55338, 0.01071201, 0.0006930083, 0.03474712, -0.000647001, -0.002220996, -0.0002840012, 15:23:11.050
0x0, 1700, 55339, -0.010232, -0.002023995, 0.02334881, -0.001180001, -0.002346002, -0.0002310015, 15:23:11.050
0x0, 1701, 55340, 0.005903006, -0.005683988, 0.0360136, -0.000613004, -0.002663001, 0.0009629987, 15:23:11.050
0x0, 1702, 55341, -0.003307, -0.01368099, 0.02792835, 0.0002959967, -0.0004899949, 0.0003679991, 15:23:11.050
0x0, 1703, 55342, -0.003233001, -0.03275999, 0.002596855, 0.001494996, -0.0001589954, 0.0008639991, 15:23:11.050
0x0, 1704, 55343, 0.02009, -0.057246, 0.03367043, 0.001685999, -0.0001019984, 0.001706999, 15:23:11.050
0x0, 1705, 55344, -0.005507991, -0.03440399, 0.02339554, 0.001552001, 0.0005199984, 0.0007219985, 15:23:11.050
0x0, 1706, 55345, 0.008912012, -0.02642499, 0.01931572, 0.0008209944, 0.0002560019, 0.0009999983, 15:23:11.050
0x0, 1707, 55346, 0.009256005, -0.009865999, 0.01737309, 0.0001970008, -0.0006129965, 0.0003039986, 15:23:11.050
0x0, 1708, 55347, -0.002665997, 0.01352401, 0.01374054, -0.001261003, -0.001815997, 0.0002419986, 15:23:11.050
0x0, 1709, 55348, -0.017584, 0.008690998, 0.01583481, -0.001361005, -0.001614995, 0.0009169988, 15:23:11.050
0x0, 1710, 55349, 0.02491301, -0.008276001, 0.02654839, -0.0007300004, -0.0008860007, 0.0004249997, 15:23:11.050
0x0, 1711, 55350, 0.009357005, -0.02339, 0.01904392, 0.0008549988, -0.0003229976, 0.0005399995, 15:23:11.050
0x0, 1712, 55351, 0.004423007, -0.042942, 0.03193855, 0.001318999, -0.001113996, 0.0009160005, 15:23:11.050
0x0, 1713, 55352, 0.008138001, -0.03063799, 0.04291153, 0.001789995, -0.0008039996, 0.001300998, 15:23:11.050
0x0, 1714, 55353, 5.200505E-05, -0.059928, 0.01265049, 0.001304001, 0.0004670024, 0.001254998, 15:23:11.050
0x0, 1715, 55354, 0.006153002, 0.0003630072, 0.02695751, 0.0008630008, -0.0003509969, 0.0006669983, 15:23:11.050
0x0, 1716, 55355, -0.002698988, 0.011274, -0.003535271, -0.0004419982, -0.001718998, -0.0001110025, 15:23:11.050
0x0, 1717, 55356, 0.004349008, 0.019623, 0.03473377, -0.001731999, -0.001031995, 0.0001739971, 15:23:11.050
0x0, 1718, 55357, -0.001264989, 0.01437502, 0.01561165, -0.001095004, -0.0006549954, 0.0002989992, 15:23:11.065
0x0, 1719, 55358, -0.004084989, -0.011869, 0.0460043, -0.0004540011, -0.0009989962, 0.0005409978, 15:23:11.065
0x0, 1720, 55359, 0.003279001, -0.01615199, 0.04640388, 0.0009309947, -0.0009920001, 0.001219999, 15:23:11.065
0x0, 1721, 55360, -0.006967992, -0.032343, 0.04950523, 0.001627997, 0.0003660023, 0.000924997, 15:23:11.065
0x0, 1722, 55361, -0.001209989, -0.040051, 0.04314041, 0.002237998, 0.0002820045, 0.001640998, 15:23:11.065
0x0, 1723, 55362, 0.003523007, -0.03067, 0.04065895, 0.001425996, -0.0001169965, 0.001018997, 15:23:11.065
0x0, 1724, 55363, -0.003655002, -0.02043, 0.01626682, 0.0005550012, -0.001005001, 0.001068998, 15:23:11.065
0x0, 1725, 55364, -0.01527099, -0.015058, 0.006680489, -0.0009720027, -0.001745999, 0.000781998, 15:23:11.065
0x0, 1726, 55365, -0.01677099, 0.000169009, -0.01521301, -0.001542002, -0.0008189976, 0.000971999, 15:23:11.065
0x0, 1727, 55366, 0.01829001, -0.0002049953, 0.02511692, -0.001644999, -0.002131, 0.0002549998, 15:23:11.065
0x0, 1728, 55367, 0.009650007, 0.000131011, 0.005376816, -0.0008250028, -0.001057997, 0.0008759983, 15:23:11.065
0x0, 1729, 55368, 0.01959501, -0.018325, 0.03104591, -0.0006310046, 0.0001360029, 0.001275998, 15:23:11.065
0x0, 1730, 55369, 0.004416004, -0.022221, 0.02738953, 0.001411997, 0.000895001, 0.0006159991, 15:23:11.065
0x0, 1731, 55370, -0.007313997, -0.048015, 0.04195404, 0.002115995, 0.0003240034, 0.001660999, 15:23:11.065
0x0, 1732, 55371, -0.016076, -0.04253499, 0.05056953, 0.002369002, -0.0009009987, 0.001227997, 15:23:11.065
0x0, 1733, 55372, -0.008437991, -0.036057, 0.03402042, 0.001277, -0.001040995, 0.001428999, 15:23:11.065
0x0, 1734, 55373, -0.01247299, -0.006127998, 0.002630234, 0.0003859997, -0.001529001, 0.0008739978, 15:23:11.065
0x0, 1735, 55374, -0.004703, -0.002103999, 0.02018738, -0.001012005, -0.002274998, 0.0002129972, 15:23:11.065
0x0, 1736, 55375, 0.003184006, 0.017341, -0.001167297, -0.001327999, -0.001278996, -0.0001560003, 15:23:11.065
0x0, 1737, 55376, 0.011075, 0.01045801, 0.02712917, -0.000899002, -0.0009879991, 4.29973E-05, 15:23:11.065
0x0, 1738, 55377, 0.009440005, -0.015067, 0.02629662, -0.0003169999, -0.0002279952, 0.000719998, 15:23:11.065
0x0, 1739, 55378, -0.000661999, -0.024979, 0.02590179, 0.0007879958, 0.000481002, 0.0007210001, 15:23:11.065
0x0, 1740, 55379, 0.002951011, -0.02929999, 0.04193974, 0.001209997, -0.0001269951, 0.001117997, 15:23:11.065
0x0, 1741, 55380, 0.006172001, -0.04181799, 0.03819752, 0.001029998, -0.0004540011, 0.000599999, 15:23:11.065
0x0, 1742, 55381, 0.007591009, -0.01342799, 0.05206108, 0.001108997, -0.0005479977, 0.001120999, 15:23:11.065
0x0, 1743, 55382, 0.004927009, -0.006745994, 0.01787663, 0.000771001, -0.001166001, 0.000599999, 15:23:11.065
0x0, 1744, 55383, -0.009004995, -0.02304299, 0.03644466, -0.000504002, -0.001802996, 0.0001909994, 15:23:11.065
0x0, 1745, 55384, 0.0009469986, -0.01429799, 0.03575134, -0.001201004, -0.001846999, 2.199784E-05, 15:23:11.065
0x0, 1746, 55385, -0.0003569871, -0.008267, 0.03941441, -0.0007040054, -0.0008120015, 0.0007969998, 15:23:11.477
0x0, 1747, 55386, 0.006039008, -0.005968988, 0.01662731, 0.000138998, -0.0005209967, 0.0007939972, 15:23:11.477
0x0, 1748, 55387, 0.01949701, -0.027163, 0.02980328, 9.699911E-05, -0.0005809963, 0.0006549992, 15:23:11.477
0x0, 1749, 55388, -0.002339989, -0.03375399, -0.001051903, 0.001077995, -0.0004400015, 0.0004179999, 15:23:11.477
0x0, 1750, 55389, 0.01321101, -0.04044099, 0.002528191, 0.001020998, -0.0003769994, 0.000638999, 15:23:11.477
0x0, 1751, 55390, -0.01605, -0.03051299, 0.03319931, 0.001144998, -0.0001460016, 0.0007259995, 15:23:11.477
0x0, 1752, 55391, 0.01858801, -0.027355, 0.00972271, 0.000157997, -0.001710996, 0.0004649982, 15:23:11.477
0x0, 1753, 55392, -0.005465999, -0.01178199, 0.03914642, -0.0001170039, -0.001495995, 0.0001959987, 15:23:11.477
0x0, 1754, 55393, -0.005548, -0.01565999, 0.00935173, -0.0006580055, -0.001215994, 0.0006599985, 15:23:11.477
0x0, 1755, 55394, 0.00351201, -0.015122, -0.01839828, -0.0001440048, -0.001300998, 0.0006229989, 15:23:11.477
0x0, 1756, 55395, -0.01197699, -0.02838899, 0.03223801, 0.0003879964, -0.001308002, 0.001493998, 15:23:11.477
0x0, 1757, 55396, -0.008421987, -0.02984899, 0.05549908, 0.0006290004, -0.0001039952, 0.001057997, 15:23:11.477
0x0, 1758, 55397, 0.003244013, -0.03242999, 0.0231142, 0.0009759963, 0.001162, 0.001450997, 15:23:11.477
0x0, 1759, 55398, -0.018741, -0.04256099, 0.02883816, 0.001506001, -4.199892E-05, 0.0003359988, 15:23:11.477
0x0, 1760, 55399, -0.003853992, -0.02458, 0.02514648, 0.0005090013, -0.0009949952, 0.0008029975, 15:23:11.477
0x0, 1761, 55400, 0.014814, -0.018483, -0.02718353, -0.0002439991, -0.0007079989, 0.0004919991, 15:23:11.477
0x0, 1762, 55401, 0.0006940067, 0.012713, 0.003891945, -0.0009780005, -0.002246998, 0.0008849986, 15:23:11.477
0x0, 1763, 55402, 0.006696999, -0.00963299, 0.01393986, -0.001407005, -0.002521001, 0.0004749969, 15:23:11.477
0x0, 1764, 55403, 0.005802006, 0.001072004, 0.02599239, -0.0004960001, -0.001846001, 0.0006089993, 15:23:11.477
0x0, 1765, 55404, 0.004584, -0.01542699, 0.04092503, 0.001466997, 0.0001350045, 0.000434, 15:23:11.477
0x0, 1766, 55405, -0.009116992, -0.036147, 0.05189991, 0.001789995, -0.001180001, 0.001608998, 15:23:11.477
0x0, 1767, 55406, -0.01987699, -0.03788799, 0.05333519, 0.00203, -0.0001449957, 0.0007589981, 15:23:11.477
0x0, 1768, 55407, 0.006595001, -0.037625, 0.06670284, 0.001614995, 0.001566999, 0.001736, 15:23:11.477
0x0, 1769, 55408, 0.005094007, -0.02301699, 0.04503727, 0.001596995, 0.0003940016, 0.0009589978, 15:23:11.477
0x0, 1770, 55409, 0.01126501, 0.005914003, 0.04571438, -0.0003859997, -0.001858994, 0.0006739981, 15:23:11.477
