Start Time: 6/2/2024 3:33:35 PM
RDT Sample Rate: 500
Force Units: 1
Counts per Unit Force: 1000000
Torque Units: 2
Counts per Unit Torque: 1000000
Status (hex), RDTSequence, F/T Sequence, Fx , Fy , Fz , Tx , Ty , Tz , Time 
0x0, 79890, 2457, 0.192558, -0.145327, 3.77549, 0.012533, 0.007132001, -0.002695002, 15:33:36.131
0x0, 79891, 2458, 0.217143, -0.139615, 3.749945, 0.012851, 0.006377004, -0.002246, 15:33:36.131
0x0, 79892, 2459, 0.209477, -0.144276, 3.756208, 0.01249, 0.006981999, -0.002276, 15:33:36.131
0x0, 79893, 2460, 0.222983, -0.144937, 3.727494, 0.01271199, 0.008155003, -0.00172, 15:33:36.131
0x0, 79894, 2461, 0.202882, -0.146393, 3.762389, 0.013608, 0.008514002, -0.001741, 15:33:36.131
0x0, 79895, 2462, 0.22371, -0.147505, 3.762229, 0.013069, 0.007779002, -0.002093002, 15:33:36.131
0x0, 79896, 2463, 0.221062, -0.138939, 3.758621, 0.013034, 0.007006004, -0.002461001, 15:33:36.131
0x0, 79897, 2464, 0.212191, -0.137759, 3.773974, 0.01295, 0.007411003, -0.002475001, 15:33:36.131
0x0, 79898, 2465, 0.223516, -0.140483, 3.735568, 0.0124, 0.006595001, -0.002793003, 15:33:36.131
0x0, 79899, 2466, 0.207402, -0.124225, 3.766957, 0.01274, 0.007065006, -0.001902003, 15:33:36.131
0x0, 79900, 2467, 0.208005, -0.135963, 3.732996, 0.012247, 0.006833002, -0.002151001, 15:33:36.146
0x0, 79901, 2468, 0.218126, -0.151542, 3.732534, 0.01253, 0.00711, -0.002312001, 15:33:36.146
0x0, 79902, 2469, 0.215126, -0.130078, 3.736726, 0.013133, 0.007089004, -0.002275001, 15:33:36.146
0x0, 79903, 2470, 0.224771, -0.150265, 3.746173, 0.012963, 0.006769001, -0.002038002, 15:33:36.146
0x0, 79904, 2471, 0.194505, -0.158502, 3.756997, 0.013574, 0.007181004, -0.001906, 15:33:36.146
0x0, 79905, 2472, 0.213732, -0.14954, 3.745216, 0.013648, 0.008102, -0.002234001, 15:33:36.146
0x0, 79906, 2473, 0.221413, -0.158791, 3.764956, 0.012872, 0.007048003, -0.002202, 15:33:36.146
0x0, 79907, 2474, 0.225431, -0.135818, 3.759317, 0.012706, 0.006713003, -0.002072003, 15:33:36.146
0x0, 79908, 2475, 0.227398, -0.12266, 3.747698, 0.012707, 0.007987998, -0.002100002, 15:33:36.146
0x0, 79909, 2476, 0.208372, -0.135226, 3.752656, 0.012743, 0.007918999, -0.001787003, 15:33:36.146
0x0, 79910, 2477, 0.206349, -0.150734, 3.712786, 0.012083, 0.006278001, -0.002211001, 15:33:36.146
0x0, 79911, 2478, 0.198588, -0.147889, 3.755072, 0.011992, 0.007013001, -0.001868002, 15:33:36.146
0x0, 79912, 2479, 0.221843, -0.140283, 3.751427, 0.01287, 0.008161001, -0.002318002, 15:33:36.146
0x0, 79913, 2480, 0.215367, -0.172366, 3.755826, 0.013118, 0.008159004, -0.002070002, 15:33:36.146
0x0, 79914, 2481, 0.188956, -0.152465, 3.76565, 0.012917, 0.007090002, -0.001453001, 15:33:36.146
0x0, 79915, 2482, 0.195309, -0.137769, 3.772104, 0.01317, 0.007343002, -0.002344001, 15:33:36.146
0x0, 79916, 2483, 0.230273, -0.147489, 3.7683, 0.012454, 0.007427, -0.002375003, 15:33:36.146
0x0, 79917, 2484, 0.225465, -0.147658, 3.770792, 0.013666, 0.007909, -0.002382003, 15:33:36.146
0x0, 79918, 2485, 0.218004, -0.1352, 3.76053, 0.012781, 0.006690003, -0.002694, 15:33:36.146
0x0, 79919, 2486, 0.213649, -0.133826, 3.760078, 0.012081, 0.006468005, -0.002022002, 15:33:36.146
0x0, 79920, 2487, 0.216084, -0.115949, 3.75512, 0.012188, 0.007881999, -0.002841, 15:33:36.146
0x0, 79921, 2488, 0.209469, -0.160133, 3.756989, 0.012584, 0.008477002, -0.001615003, 15:33:36.146
0x0, 79922, 2489, 0.223851, -0.148827, 3.757668, 0.013222, 0.007672004, -0.002227001, 15:33:36.146
0x0, 79923, 2490, 0.206218, -0.148633, 3.753181, 0.012859, 0.007389002, -0.001726002, 15:33:36.146
0x0, 79924, 2491, 0.224151, -0.13007, 3.749486, 0.013215, 0.007257, -0.002520002, 15:33:36.146
0x0, 79925, 2492, 0.207666, -0.138093, 3.742197, 0.01351999, 0.007435001, -0.002222002, 15:33:36.146
0x0, 79926, 2493, 0.221906, -0.130789, 3.74077, 0.013706, 0.006433003, -0.002709001, 15:33:36.146
0x0, 79927, 2494, 0.214174, -0.131104, 3.734303, 0.012376, 0.006208003, -0.002721, 15:33:36.146
0x0, 79928, 2495, 0.197441, -0.128958, 3.716828, 0.011806, 0.006535001, -0.001822002, 15:33:36.146
0x0, 79929, 2496, 0.213448, -0.123248, 3.765358, 0.013205, 0.007413, -0.002656002, 15:33:36.146
0x0, 79930, 2497, 0.210433, -0.151135, 3.746862, 0.012921, 0.007688001, -0.001945, 15:33:36.146
0x0, 79931, 2498, 0.210351, -0.154246, 3.754654, 0.013716, 0.008325003, -0.002013002, 15:33:36.146
0x0, 79932, 2499, 0.222703, -0.158409, 3.749302, 0.01308, 0.007700004, -0.001759, 15:33:36.146
0x0, 79933, 2500, 0.209801, -0.14782, 3.752546, 0.01327, 0.007738002, -0.002150003, 15:33:36.146
0x0, 79934, 2501, 0.212781, -0.122709, 3.744024, 0.01267, 0.007751003, -0.002773002, 15:33:36.146
0x0, 79935, 2502, 0.199905, -0.129601, 3.722879, 0.013186, 0.006887004, -0.002028, 15:33:36.146
0x0, 79936, 2503, 0.209724, -0.130498, 3.737448, 0.012053, 0.005911, -0.002362002, 15:33:36.146
0x0, 79937, 2504, 0.208342, -0.124265, 3.727104, 0.012568, 0.005983002, -0.002049003, 15:33:36.146
0x0, 79938, 2505, 0.208984, -0.144642, 3.764067, 0.012618, 0.007327005, -0.002684001, 15:33:36.146
0x0, 79939, 2506, 0.20159, -0.142379, 3.754805, 0.013623, 0.007938005, -0.002348002, 15:33:36.162
0x0, 79940, 2507, 0.201302, -0.148735, 3.759678, 0.013312, 0.007754005, -0.001709003, 15:33:36.162
0x0, 79941, 2508, 0.228353, -0.133022, 3.761539, 0.013252, 0.007709004, -0.002082001, 15:33:36.162
0x0, 79942, 2509, 0.211904, -0.133562, 3.763453, 0.01313899, 0.008257002, -0.002549, 15:33:36.558
0x0, 79943, 2510, 0.231905, -0.129649, 3.728484, 0.013866, 0.007073998, -0.002093002, 15:33:36.558
0x0, 79944, 2511, 0.22917, -0.12805, 3.747149, 0.013087, 0.006379999, -0.003077, 15:33:36.558
0x0, 79945, 2512, 0.221241, -0.126853, 3.772742, 0.012587, 0.006549999, -0.002225, 15:33:36.558
0x0, 79946, 2513, 0.20955, -0.127186, 3.764438, 0.012079, 0.007247999, -0.001899, 15:33:36.558
0x0, 79947, 2514, 0.239056, -0.124561, 3.791018, 0.013181, 0.007047005, -0.002019003, 15:33:36.558
0x0, 79948, 2515, 0.216235, -0.145527, 3.76664, 0.01277, 0.008160003, -0.002494, 15:33:36.558
0x0, 79949, 2516, 0.218419, -0.159195, 3.776756, 0.012715, 0.007979006, -0.001932003, 15:33:36.558
0x0, 79950, 2517, 0.21303, -0.15127, 3.779286, 0.012944, 0.007929005, -0.001879003, 15:33:36.558
0x0, 79951, 2518, 0.209071, -0.147021, 3.76125, 0.01329499, 0.007145002, -0.002396002, 15:33:36.558
0x0, 79952, 2519, 0.211927, -0.14065, 3.747223, 0.013233, 0.006751999, -0.002301, 15:33:36.558
0x0, 79953, 2520, 0.219964, -0.11766, 3.718078, 0.013472, 0.005938001, -0.002623003, 15:33:36.558
0x0, 79954, 2521, 0.21358, -0.11637, 3.746216, 0.012487, 0.006820999, -0.002726, 15:33:36.558
0x0, 79955, 2522, 0.209838, -0.134025, 3.739124, 0.012557, 0.007029004, -0.002455, 15:33:36.558
0x0, 79956, 2523, 0.22277, -0.135516, 3.773529, 0.012963, 0.007444002, -0.002219003, 15:33:36.558
0x0, 79957, 2524, 0.205879, -0.144516, 3.787837, 0.01283599, 0.008735999, -0.002682, 15:33:36.558
0x0, 79958, 2525, 0.20822, -0.156057, 3.771313, 0.013065, 0.009273, -0.001061, 15:33:36.558
0x0, 79959, 2526, 0.211846, -0.158188, 3.733089, 0.012943, 0.007953003, -0.001442, 15:33:36.558
0x0, 79960, 2527, 0.207057, -0.128022, 3.76644, 0.013184, 0.007137001, -0.001095001, 15:33:36.558
0x0, 79961, 2528, 0.21261, -0.137581, 3.761314, 0.012359, 0.006929003, -0.001694001, 15:33:36.558
0x0, 79962, 2529, 0.21138, -0.136529, 3.748261, 0.01260599, 0.006676003, -0.003015, 15:33:36.558
0x0, 79963, 2530, 0.198058, -0.138352, 3.75131, 0.01272, 0.006436005, -0.002287, 15:33:36.558
0x0, 79964, 2531, 0.201226, -0.133746, 3.73615, 0.012277, 0.007236004, -0.002601001, 15:33:36.573
0x0, 79965, 2532, 0.21949, -0.140425, 3.751108, 0.012947, 0.006995, -0.002618, 15:33:36.573
0x0, 79966, 2533, 0.227013, -0.125437, 3.764758, 0.013729, 0.007783003, -0.002213001, 15:33:36.573
0x0, 79967, 2534, 0.205848, -0.15445, 3.750161, 0.01293, 0.007573001, -0.001843002, 15:33:36.573
0x0, 79968, 2535, 0.207482, -0.15284, 3.751175, 0.013031, 0.007440001, -0.002250001, 15:33:36.573
0x0, 79969, 2536, 0.238365, -0.147586, 3.721464, 0.012682, 0.007010005, -0.002331, 15:33:36.573
0x0, 79970, 2537, 0.198024, -0.145387, 3.738, 0.013241, 0.007595003, -0.001936, 15:33:36.573
0x0, 79971, 2538, 0.203029, -0.156845, 3.732014, 0.012749, 0.006939001, -0.001935001, 15:33:36.573
0x0, 79972, 2539, 0.206983, -0.149798, 3.761318, 0.012411, 0.007154003, -0.002235003, 15:33:36.573
0x0, 79973, 2540, 0.214191, -0.14179, 3.736918, 0.012861, 0.007114001, -0.002408002, 15:33:36.573
0x0, 79974, 2541, 0.210461, -0.137341, 3.737052, 0.012694, 0.007396005, -0.002344999, 15:33:36.573
0x0, 79975, 2542, 0.208331, -0.129136, 3.742748, 0.01346, 0.006733999, -0.001190003, 15:33:36.573
0x0, 79976, 2543, 0.213194, -0.141798, 3.774564, 0.01326299, 0.007159002, -0.002077002, 15:33:36.573
0x0, 79977, 2544, 0.213153, -0.139197, 3.766716, 0.013257, 0.007701002, -0.002376001, 15:33:36.573
0x0, 79978, 2545, 0.21929, -0.139152, 3.772932, 0.013339, 0.007022001, -0.001711, 15:33:36.573
0x0, 79979, 2546, 0.217138, -0.154939, 3.730624, 0.01265, 0.006682001, -0.002697002, 15:33:36.573
0x0, 79980, 2547, 0.206589, -0.140104, 3.759113, 0.012573, 0.007215999, -0.001653001, 15:33:36.573
0x0, 79981, 2548, 0.222828, -0.152981, 3.759437, 0.012589, 0.008008003, -0.002229001, 15:33:36.573
0x0, 79982, 2549, 0.200855, -0.135359, 3.752448, 0.013098, 0.007158004, -0.002241001, 15:33:36.573
0x0, 79983, 2550, 0.223085, -0.128528, 3.722582, 0.013432, 0.006301999, -0.002171002, 15:33:36.573
0x0, 79984, 2551, 0.215388, -0.128324, 3.745972, 0.013179, 0.007458001, -0.002186, 15:33:36.573
0x0, 79985, 2552, 0.21186, -0.132578, 3.764884, 0.013308, 0.008230999, -0.001624003, 15:33:36.573
0x0, 79986, 2553, 0.225012, -0.134721, 3.750459, 0.013256, 0.007613003, -0.001972001, 15:33:36.573
0x0, 79987, 2554, 0.207206, -0.151211, 3.777507, 0.012905, 0.007347003, -0.002038002, 15:33:36.573
0x0, 79988, 2555, 0.206936, -0.137842, 3.763127, 0.013052, 0.007445998, -0.001607001, 15:33:36.573
0x0, 79989, 2556, 0.23243, -0.132502, 3.75165, 0.013132, 0.007964998, -0.002479002, 15:33:36.573
0x0, 79990, 2557, 0.206898, -0.151662, 3.739272, 0.012494, 0.006522, -0.002239, 15:33:36.573
0x0, 79991, 2558, 0.204761, -0.122396, 3.757352, 0.012764, 0.006576002, -0.002218001, 15:33:36.573
0x0, 79992, 2559, 0.214401, -0.142053, 3.771288, 0.012642, 0.007256001, -0.002022002, 15:33:36.573
0x0, 79993, 2560, 0.215753, -0.137887, 3.716455, 0.013045, 0.006466001, -0.002443001, 15:33:36.573
0x0, 79994, 2561, 0.225212, -0.144543, 3.770906, 0.013075, 0.007595003, -0.002067, 15:33:36.573
0x0, 79995, 2562, 0.223146, -0.14279, 3.763036, 0.013059, 0.007555, -0.001264002, 15:33:36.986
0x0, 79996, 2563, 0.207139, -0.135632, 3.765292, 0.013128, 0.008123003, -0.001938, 15:33:36.986
0x0, 79997, 2564, 0.204647, -0.148717, 3.758457, 0.013023, 0.007484004, -0.002267003, 15:33:36.986
0x0, 79998, 2565, 0.208167, -0.117339, 3.776808, 0.012973, 0.007156, -0.001896001, 15:33:36.986
0x0, 79999, 2566, 0.213109, -0.146399, 3.749381, 0.012692, 0.007052004, -0.002410002, 15:33:36.986
0x0, 80000, 2567, 0.219069, -0.149077, 3.743466, 0.01249, 0.007810004, -0.002715003, 15:33:36.986
0x0, 80001, 2568, 0.216242, -0.130141, 3.74645, 0.012781, 0.007383004, -0.003110003, 15:33:36.986
0x0, 80002, 2569, 0.211715, -0.141059, 3.757168, 0.012818, 0.007077001, -0.002013002, 15:33:36.986
